policy,mean_loss,total_fit_seconds,mean_fit_seconds,respecifications,n_records,n_series,mean_instability,relative_loss,relative_time,relative_instability,mean_respecifications_per_series,total_cost_index
adaptive_cap8_tau0.8,0.756197088390054,14472.4800000001,0.100503333333334,20391,144000,4000,3.09768496845109,0.996767032572857,1.67681932106375,1.0087000599052,5.09775,0.996767032572857
trigg_cap8_tau0.6,0.757458374015541,13943.2070000001,0.0968278263888899,36046,144000,4000,3.12428758006986,0.998429572603023,1.61549636932933,1.01736267608689,9.0115,0.998429572603023
brown_cap8_tau0.5,0.757560197337259,17499.988,0.121527694444445,46655,144000,4000,3.15033076002842,0.998563789107944,2.0275943028965,1.02584312437388,11.66375,0.998563789107944
brown_cap8_tau0.6,0.757987539844286,17318.6410000001,0.120268340277779,46100,144000,4000,3.15201247945718,0.999127082631765,2.00658296597174,1.02639074316204,11.525,0.999127082631765
trigg_cap8_tau0.5,0.758159691148362,14977.4150000004,0.104009826388892,39119,144000,4000,3.12512287091791,0.999354000649767,1.73532240857064,1.01763467208941,9.77975,0.999354000649767
fixed_f8,0.75864977841227,8630.91199999952,0.0599368888888855,20000,144000,4000,3.07096736837927,1,1,1,5,1
parameter_only,0.769386308239732,3272.1610000001,0.0227233402777785,4000,144000,4000,3.02410002083321,1.01415215575484,0.379121117212211,0.984738571946859,1,1.01415215575484
