policy,mean_fit_seconds,total_fit_seconds,n_series,mean_instability,relative_time,relative_instability
parameter_only,0.590583000000038,1181.16600000008,2000,3.99911985452379,0.059889943736721,0.852966941472569
fixed_f8,1.6628185,3325.637,2000,4.18005070473744,0.16862338809172,0.891557441267217
trigg_cap8_tau0.6,2.70476600000004,5409.53200000009,2000,4.24848759579008,0.274285381666909,0.906154254508268
fixed_f4,2.72462050000003,5449.24100000007,2000,4.20626554357631,0.276298790261332,0.897148769289128
adaptive_cap8_tau0.8,2.808988,5617.97599999999,2000,4.19244816517099,0.284854344397169,0.89420167907271
aicc_gate_cap8_tau0.8,2.83222499999983,5664.44999999967,2000,4.17835657264739,0.287210766140769,0.891196102092631
full_update,9.86113799999995,19722.2759999999,2000,4.68848165160971,1,1
