contrast,policy_a,policy_b,role,horizon,n_series,mean_diff,boot_lo,boot_hi,series_t,series_p,median_diff,share_favors_a,trim1,trim2p5,trim5,winsor1,mean_excl_top1,abs_share_top1
parameter_only vs fixed_f8,parameter_only,fixed_f8,context,3,38134,0.0128682446941722,0.0117647437135774,0.0140523064939351,21.8654100261964,2.46683896382795e-105,0,0.423742591912729,0.00858997833793244,0.0064151305480158,0.00449565848947474,0.0106294328763685,0.00638531536853716,0.184673088248297
parameter_only vs fixed_f8,parameter_only,fixed_f8,context,6,38134,0.0151464300049095,0.013618282800946,0.0167148485305282,19.5415969074304,1.26350817674237e-84,0,0.424398174857083,0.00957170666748961,0.00711916708675724,0.00517476316850904,0.0120228920066319,0.00705276357004777,0.190539058720113
parameter_only vs fixed_f8,parameter_only,fixed_f8,context,9,38134,0.0157580489588538,0.0141725332741308,0.0175488340230082,18.2568720190991,3.78022576055886e-74,0,0.42746630303666,0.0103310323054926,0.0079721986634453,0.00596664997574613,0.0126102352404043,0.0079831402205626,0.172507314625453
parameter_only vs fixed_f8,parameter_only,fixed_f8,context,12,38134,0.0147843675086568,0.0130576105881106,0.0165340934770903,16.949085231452,3.36128072937135e-64,0,0.432606073320397,0.0105793407757889,0.00851371330048383,0.00642565650404495,0.012355195758168,0.00863851628577007,0.146604709434865
parameter_only vs fixed_f8,parameter_only,fixed_f8,context,18,38134,0.0177196124142867,0.0154896304697365,0.0199058844178928,15.9833082420739,2.56603201708121e-57,0,0.431766927151623,0.0138700343294198,0.0115779873151898,0.00880537458431288,0.0156750794330259,0.0112953824274716,0.129957830304807
aicc_gate_cap8_tau0.8 vs fixed_f8,aicc_gate_cap8_tau0.8,fixed_f8,primary,3,38134,-0.000974063581882682,-0.00122183311028289,-0.000738493735876163,-7.94763104487619,1.953050338342e-15,0,0.120443698536739,-0.000668912558179709,-0.000466446021779443,-0.000244468625850019,-0.0008534260983283,-0.000523224017053013,0.307462671798658
aicc_gate_cap8_tau0.8 vs fixed_f8,aicc_gate_cap8_tau0.8,fixed_f8,primary,6,38134,-0.00175312400436568,-0.00207573983486091,-0.00142193016089359,-10.4361160655772,1.83558523472714e-25,0,0.119394765825772,-0.00114213486233031,-0.000791453379414288,-0.000417677303854382,-0.0014620807118788,-0.000875686257307446,0.300986597626875
aicc_gate_cap8_tau0.8 vs fixed_f8,aicc_gate_cap8_tau0.8,fixed_f8,primary,9,38134,-0.00182914542460026,-0.00223059588052823,-0.00145692462455367,-9.26363146577283,2.07585710190991e-20,0,0.119997902134578,-0.00125856741364964,-0.000945235032561198,-0.00052575765306956,-0.00153580373999548,-0.000996036947784816,0.291679182568843
aicc_gate_cap8_tau0.8 vs fixed_f8,aicc_gate_cap8_tau0.8,fixed_f8,primary,12,38134,-0.00158969396416544,-0.00200858530762453,-0.0011834853311212,-7.34680942797052,2.070498927368e-13,0,0.119184979283579,-0.00121333276552588,-0.000955166038626064,-0.00054785403394064,-0.00136279591768549,-0.000912891925176989,0.281124311084806
aicc_gate_cap8_tau0.8 vs fixed_f8,aicc_gate_cap8_tau0.8,fixed_f8,primary,18,38134,-0.00168257698651903,-0.00226114299207489,-0.00109308606910093,-5.72636078557725,1.03377229235099e-08,0,0.118896522788063,-0.00135567677310979,-0.00109392409192539,-0.000668331040515514,-0.00154462678503037,-0.00110753281329694,0.28297006580405
trigg_cap8_tau0.6 vs fixed_f4,trigg_cap8_tau0.6,fixed_f4,rate_matched,3,38134,1.55387828700935e-05,-0.000370603668901314,0.0003946900120441,0.0785261733377815,0.937409923212857,0,0.476871033723187,-4.97603339291115e-05,-0.00016207625233484,-0.000241896469170328,5.59091268981897e-05,-0.000137895958884289,0.121492678473789
trigg_cap8_tau0.6 vs fixed_f4,trigg_cap8_tau0.6,fixed_f4,rate_matched,6,38134,0.000126227137040907,-0.000374793359211895,0.000603235520910754,0.506073177498398,0.612808204901097,0,0.473357109141449,4.57752228221307e-05,-7.37919534720257e-05,-0.000161767596024604,0.000130020882778197,-9.92517240252906e-05,0.129639716461354
trigg_cap8_tau0.6 vs fixed_f4,trigg_cap8_tau0.6,fixed_f4,rate_matched,9,38134,0.000410189940968195,-0.000156994660922366,0.00102657898328181,1.36171138414583,0.173297031774498,0,0.471364136990612,0.000160959847152735,1.1374840654847e-05,-9.17705984455727e-05,0.00033999897717967,0.000107036901021831,0.13527732828585
trigg_cap8_tau0.6 vs fixed_f4,trigg_cap8_tau0.6,fixed_f4,rate_matched,12,38134,0.000291047579074004,-0.000358129402604085,0.000963304345014711,0.832764622437181,0.404982706072241,0,0.473960245450254,-0.000124855989482314,-0.000256404706685048,-0.000362708619806874,8.07531611004412e-05,-0.000382308007743289,0.139863464183743
trigg_cap8_tau0.6 vs fixed_f4,trigg_cap8_tau0.6,fixed_f4,rate_matched,18,38134,0.000561360352246982,-0.000376477495627654,0.00159644152192714,1.14877821918905,0.250654648482357,0,0.471154350448419,-0.000119669404532922,-0.000289520207201881,-0.00044531213327471,7.56969938830324e-05,-0.000547594587297979,0.147499857595043
adaptive_cap8_tau0.8 vs fixed_f8,adaptive_cap8_tau0.8,fixed_f8,repro,3,38134,0.000962045576818538,0.000496227182864637,0.0014198518919968,4.08841490312291,4.35220331575375e-05,0,0.126343945035926,0.0012399058713879,0.00117510073619608,0.000927442448372209,0.00120540748402728,0.00141450070329617,0.190339593230053
adaptive_cap8_tau0.8 vs fixed_f8,adaptive_cap8_tau0.8,fixed_f8,repro,6,38134,-0.00303529492988591,-0.00368783333802308,-0.00243130504174743,-9.43337846973548,4.1869993842332e-21,0,0.13971783710075,-0.00154535825876849,-0.000881810963384318,-0.000433497525102838,-0.00220388369686137,-0.000495485896318637,0.208513650780571
