policy,mean_loss,total_fit_seconds,mean_fit_seconds,respecifications,n_records,n_series,mean_instability,relative_loss,relative_time,relative_instability,mean_respecifications_per_series,total_cost_index
adaptive_cap8_tau0.8,1.18148787939377,124142.436,0.0904285152357478,194401,1372824,38134,3.75856285163024,0.996403303941055,1.67068540670414,1.01096557381841,5.09783919861541,0.996403303941055
trigg_cap8_tau0.6,1.18466838177654,119440.146000004,0.0870032473208541,342885,1372824,38134,3.78545057183453,0.999085568514097,1.60740287790727,1.01819774221842,8.99158231499449,0.999085568514097
brown_cap8_tau0.6,1.18509305467065,148279.97500001,0.108010913999179,439178,1372824,38134,3.8406741519193,0.999443714782176,1.9955238379483,1.03305159474997,11.5167042534221,0.999443714782176
trigg_cap8_tau0.5,1.18515000872154,128272.156,0.0934367085657009,372402,1372824,38134,3.80632696234371,0.999491746764118,1.7262623968139,1.02381300340827,9.76561598573451,0.999491746764118
brown_cap8_tau0.5,1.18555408998046,149882.782000007,0.109178439479501,444509,1372824,38134,3.84314588681735,0.999832527155073,2.01709411118395,1.03371643367596,11.6565007604762,0.999832527155073
fixed_f8,1.18575267135372,74306.2909999932,0.0541265967086773,190670,1372824,38134,3.71779509507349,1,1,1,5,1
parameter_only,1.203472283768,27880.6959999988,0.0203090097492459,38134,1372824,38134,3.59289500176497,1.01494376765271,0.375213129666253,0.966404793670844,1,1.01494376765271
