policy,mean_loss,total_fit_seconds,mean_fit_seconds,respecifications,n_records,n_series,mean_instability,relative_loss,relative_time,relative_instability,mean_respecifications_per_series,total_cost_index
brown_cap8_tau0.5,0.934025565970518,17508.7740000002,0.121588708333335,46625,144000,4000,3.43284009705711,0.995156190552074,2.03011835224479,1.01545224298507,11.65625,0.995156190552074
brown_cap8_tau0.6,0.934157394354032,17331.8180000006,0.120359847222226,46100,144000,4000,3.43099206867966,0.995296646912933,2.00960054653555,1.01490558642434,11.525,0.995296646912933
trigg_cap8_tau0.6,0.934501163896595,13989.626,0.0971501805555559,36129,144000,4000,3.40368277307298,0.995662915675661,1.6220779640905,1.00682735245652,9.03225,0.995662915675661
trigg_cap8_tau0.5,0.934696928504997,15008.8099999999,0.104227847222221,39156,144000,4000,3.41195811677029,0.995871492795003,1.74025095225711,1.00927524285669,9.789,0.995871492795003
adaptive_cap8_tau0.8,0.935566376826769,14440.5199999998,0.100281388888887,20376,144000,4000,3.40413109052454,0.996797845253972,1.67435850551028,1.00695996712802,5.094,0.996797845253972
fixed_f8,0.938571829063693,8624.50899999992,0.0598924236111106,20000,144000,4000,3.38060221026818,1,1,1,5,1
parameter_only,0.94756556502315,3196.40699999998,0.0221972708333332,4000,144000,4000,3.25862839876942,1.00958236299126,0.370619011470683,0.963919501937175,1,1.00958236299126
