policy,mean_loss,total_fit_seconds,mean_fit_seconds,respecifications,n_records,n_series,mean_instability,relative_loss,relative_time,relative_instability,mean_respecifications_per_series,total_cost_index
trigg_cap8_tau0.6,0.634997863767381,13887.5639999999,0.0964414166666659,35837,144000,4000,2.9646142787243,0.996925621869581,1.60985688076022,1.00274354416572,8.95925,0.996925621869581
brown_cap8_tau0.5,0.635254355106929,17498.1789999997,0.121515131944442,46629,144000,4000,2.98759453411586,0.997328304780459,2.02840209153483,1.01051632691946,11.65725,0.997328304780459
trigg_cap8_tau0.5,0.635284098896259,14947.2330000003,0.103800229166669,38998,144000,4000,2.97291603236435,0.997375001544914,1.73269450951779,1.00555150806428,9.7495,0.997375001544914
brown_cap8_tau0.6,0.635425151698497,17307.6869999998,0.120192270833332,46067,144000,4000,2.99150442709354,0.997596449774288,2.00632011539203,1.01183879911083,11.51675,0.997596449774288
fixed_f8,0.636956107694916,8626.58300000045,0.059906826388892,20000,144000,4000,2.95650298221651,1,1,1,5,1
adaptive_cap8_tau0.8,0.638365274934964,14420.1420000002,0.100139875000002,20321,144000,4000,2.97273055782432,1.00221234591053,1.67159372372578,1.00548877363068,5.08025,1.00221234591053
parameter_only,0.64452055181133,3295.74999999992,0.0228871527777772,4000,144000,4000,2.92764050780585,1.01187592681039,0.382045822778237,0.99023763054383,1,1.01187592681039
