policy,n_series,mean_fit_seconds,mean_instability,mean_searches,mean_init,mean_cap,mean_fire_score,mean_fire_signal,mean_scheduled,mean_form_changes,loss_h3,loss_h6,loss_h9,loss_h12,loss_h18,rel_time_vs_f8,rel_inst_vs_f8,stratum_relative_time,stratum_relative_instability
adaptive_cap8_tau0.8,38134,3.01860051397699,3.75856285163024,5.09783919861541,1,3.74225100959773,0.355588189017675,0,0,2.20039859443017,0.637204328103909,0.7608397748785,0.866812969313744,0.962006731239047,1.18148787939377,1.6716158478587,1.01096557381841,0.283619812579344,0.89420167907271
aicc_gate_cap8_tau0.8,38134,3.04286644464252,3.71327894456708,5.09477107043583,1,3.74332616562648,0.351444904809356,0,0,1.90058740231814,0.635268218945208,0.76212194580402,0.869178085715556,0.96404829996573,1.1840700943672,1.68505363602435,0.998785261050991,0.286226860686859,0.891196102092631
fixed_f4,38134,2.91947359311895,3.77031650926216,9,1,0,0,0,8,3.0132952221115,0.63514035220578,0.762381853844785,0.869091098786837,0.96391318887973,1.18411208454302,1.6167221542121,1.014127033052,0.274849895972191,0.897148769289128
fixed_f8,38134,1.80579797555984,3.7177950950735,5,1,0,0,0,4,1.88118214716526,0.636242282527091,0.763875069808386,0.871007231140156,0.965637993929896,1.18575267135372,1,1,0.167703288236918,0.891557441267217
parameter_only,38134,0.673956705302345,3.59289500176496,1,1,0,0,0,0,0,0.649110527221263,0.779021499813296,0.88676528009901,0.980422361438553,1.203472283768,0.373218219548287,0.966404793670838,0.0597146356641431,0.852966941472569
trigg_cap8_tau0.6,38134,2.07024996066502,3.71940540429044,6.01051555042744,1,2.75575601825143,0,2.25475953217601,0,2.24841348927466,0.635277907799783,0.763386486773976,0.870743984773669,0.965530302031344,1.18647561772179,1.14644605248446,1.00043313554829,0.193613401384606,0.891017847400098
trigg_resid_cap8_tau0.3,38134,3.36960864320553,3.77067490516779,9.10481460114334,1,0.58462264645723,0,7.52019195468611,0,3.119368542508,0.635407660703971,0.762935406352891,0.869673052203386,0.964193076678577,1.18452799836057,1.86599425229772,1.01422343317531,,
