policy,n_series,mean_diff,se,ci90_lo,ci90_hi,boot90_lo,boot90_hi,tost_p,epsilon_abs,epsilon_rel,equivalent,equivalent_boot,attained_margin_rel,mean_rel
fixed_f2,47982,0.000100710422591314,0.000103724467094257,-6.9904437433144e-05,0.000271325282615773,-7.01817143044386e-05,0.000267127842448927,2.61647611892236e-194,0.00319691233522068,0.005,TRUE,TRUE,0.000424355212413172,0.000157512017895796
fixed_f3,47982,0.000387962414225736,0.000142423731848758,0.000153691699183594,0.000622233129267879,0.000158210657374191,0.000619387273218467,1.5204421877074e-86,0.00319691233522068,0.005,TRUE,TRUE,0.000973178279574135,0.000606776748225965
fixed_f4,47982,-2.27176944800131e-05,0.000165128582557353,-0.000294335286628817,0.000248899897668791,-0.000293692993853427,0.000248336173361924,2.44097529263277e-82,0.00319691233522068,0.005,TRUE,TRUE,0.000460343068194423,-3.55306810101267e-05
fixed_f5,47982,0.000351294764182332,0.000184149499062475,4.83899444586757e-05,0.000654199583905988,4.40636638228441e-05,0.000653601219264107,4.87175919611427e-54,0.00319691233522068,0.005,TRUE,TRUE,0.00102317410568099,0.000549428209701099
fixed_f6,47982,0.000245648686155473,0.000202171954704516,-8.69010074615299e-05,0.000578198379772475,-8.37269906102271e-05,0.000572265744359144,1.84047148211196e-48,0.00319691233522068,0.005,TRUE,TRUE,0.000904307530429299,0.000384196781765234
fixed_f7,47982,0.000283688205071984,0.000206099466721509,-5.53217956624777e-05,0.000622698205806446,-5.20005804126565e-05,0.000626757334263174,1.42420281779658e-45,0.00319691233522068,0.005,TRUE,TRUE,0.000973905663514951,0.000443690935698431
fixed_f8,47982,0.00039999941835101,0.000214596203130934,4.70132600736856e-05,0.000752985576628334,4.41143422410683e-05,0.000764287404278463,4.5991922163797e-39,0.00319691233522068,0.005,TRUE,TRUE,0.00117767629773989,0.000625602732274168
fixed_f9,47982,0.000348071698325722,0.000234540891226538,-3.77211859150212e-05,0.000733864582566465,-2.77072151835134e-05,0.000736839986882262,3.35941012981082e-34,0.00319691233522068,0.005,TRUE,TRUE,0.0011477708889315,0.00054438730535552
fixed_f10,47982,0.000458406916186947,0.000238126470456859,6.67161650723079e-05,0.000850097667301586,7.64349069428169e-05,0.00086030148618728,7.21590903646169e-31,0.00319691233522068,0.005,TRUE,TRUE,0.00132956049175322,0.0007169525906867
fixed_f11,47982,0.00100185573042686,0.000242065923967184,0.000603685029806901,0.00140002643104682,0.000591725301900338,0.00141117964847498,6.28284574265862e-20,0.00319691233522068,0.005,TRUE,TRUE,0.00218965408532257,0.00156691148423015
fixed_f12,47982,0.0014367116563883,0.000263040433379669,0.00100404029177129,0.00186938302100532,0.000987544465258819,0.00186680580267462,1.11467868215542e-11,0.00319691233522068,0.005,TRUE,TRUE,0.00292373206548417,0.00224703011177366
