subset,n_series,n_records,n_score_trigger_records,mean_adaptive_loss,mean_fixed_loss,mean_loss_diff_adaptive_minus_fixed,median_loss_diff_adaptive_minus_fixed,mean_score_gap,mean_spec_debt_aicc,mean_spec_debt_bic
all_records,47982,1727352,15900,0.640799628015105,0.639782466462487,0.00101716155261786,0,0.28816341917176,7.140127178863,2.41995969595065
series_with_score_trigger,12459,448524,15900,0.686524828153984,0.682607543811925,0.00391728434205876,0,0.563589021373027,11.791818872165,3.93367359996431
series_without_score_trigger,35523,1278828,0,0.624762405130487,0.624762405130487,0,0,0.178083893589672,5.28058359081446,1.81484285460847
score_trigger_records,12459,15900,15900,0.713664979223529,0.687465292842032,0.0261996863814971,0.010881278658243,1.46446138947511,8.76048054105891,3.71980314992656
