policy,n_series,mean_fit_seconds,mean_instability,mean_searches,mean_init,mean_cap,mean_fire_score,mean_fire_signal,mean_scheduled,mean_form_changes,loss_h3,loss_h6,loss_h9,loss_h12,loss_h18,rel_time_vs_f8,rel_inst_vs_f8,stratum_relative_time,stratum_relative_instability
adaptive_cap8_tau0.8,38134,3.01860051397699,3.75856285163024,5.09783919861541,1,3.74225100959773,0.355588189017675,0,0,2.20039859443017,0.637204328103909,0.7608397748785,0.866812969313744,0.962006731239047,1.18148787939377,1.6716158478587,1.01096557381841,0.284854344397169,0.89420167907271
aicc_gate_cap8_tau0.8,38134,3.04286644464252,3.71327894456708,5.09477107043583,1,3.74332616562648,0.351444904809356,0,0,1.90058740231814,0.635268218945208,0.76212194580402,0.869178085715556,0.96404829996573,1.1840700943672,1.68505363602435,0.998785261050991,0.287210766140769,0.891196102092631
fixed_f4,38134,2.91947359311895,3.77031650926216,9,1,0,0,0,8,3.0132952221115,0.63514035220578,0.762381853844785,0.869091098786837,0.96391318887973,1.18411208454302,1.6167221542121,1.014127033052,0.276298790261332,0.897148769289128
fixed_f8,38134,1.80579797555984,3.7177950950735,5,1,0,0,0,4,1.88118214716526,0.636242282527091,0.763875069808386,0.871007231140156,0.965637993929896,1.18575267135372,1,1,0.16862338809172,0.891557441267217
parameter_only,38134,0.673956705302345,3.59289500176496,1,1,0,0,0,0,0,0.649110527221263,0.779021499813296,0.88676528009901,0.980422361438553,1.203472283768,0.373218219548287,0.966404793670838,0.059889943736721,0.852966941472569
trigg_cap8_tau0.6,38134,2.94447333088582,3.78545055347705,8.99158231499449,1,1.34321078302827,0,6.64837153196622,0,3.03209734095558,0.63515589098865,0.762508080981826,0.869501288727805,0.964204236458804,1.18467344489526,1.63056630405899,1.01819773728068,0.274285381666909,0.906154254508268
