policy,mean_loss,total_fit_seconds,mean_fit_seconds,respecifications,n_records,n_series,mean_instability,relative_loss,relative_time,relative_instability,mean_respecifications_per_series,total_cost_index
brown_cap8_tau0.5,0.855495906571878,17534.8729999998,0.121769951388888,46652,144000,4000,3.29430935972808,0.998146157653136,2.02744569707225,1.0273118084877,11.663,0.998146157653136
trigg_cap8_tau0.6,0.855866626101651,13971.8550000001,0.0970267708333342,36046,144000,4000,3.27387255078578,0.998578693064897,1.61547661621889,1.02093870479231,9.0115,0.998578693064897
brown_cap8_tau0.6,0.855989151843851,17353.694,0.120511763888889,46114,144000,4000,3.29497951591345,0.998721649445929,2.00649712311056,1.02752079291739,11.5285,0.998721649445929
trigg_cap8_tau0.5,0.856201475785616,15006.4100000004,0.104211180555558,39113,144000,4000,3.28339840054851,0.998969377488837,1.73509562247774,1.02390928735713,9.77825,0.998969377488837
adaptive_cap8_tau0.8,0.856902868350008,14424.4770000001,0.100169979166667,20309,144000,4000,3.24346396612883,0.999787724236934,1.66781041563108,1.01145595903704,5.07725,0.999787724236934
fixed_f8,0.857084806681358,8648.75100000023,0.0600607708333349,20000,144000,4000,3.20672782353941,1,1,1,5,1
parameter_only,0.87011314008367,3272.57499999984,0.0227262152777767,4000,144000,4000,3.15558750876153,1.0152007517818,0.378387006401242,0.984052181041849,1,1.0152007517818
