horizon,policy_a,policy_b,set,n_series,n_origin_records,n_diff_series,mean_series_diff,median_series_diff,series_t,series_p,share_a_worse,sign_p,wilcoxon_p,cr_mean,cr_se,cr_t,boot_lo,boot_hi
3,adaptive_cap8_tau0.8,fixed_f8,all_origins,4000,144000,971,0.00140916724004885,0,1.99045862629685,0.0466083983137121,0.565396498455201,5.14606943485098e-05,1.10848177660738e-05,0.00140916724004885,0.000707961080643277,1.99045862629685,-2.28137058412297e-05,0.00289050860618753
3,adaptive_cap8_tau0.8,fixed_f8,divergent_origins,971,12199,971,0.0364059505917464,0.0235859120587994,3.31227389113705,0.000959588490938195,0.565396498455201,5.14606943485098e-05,2.93109649593297e-06,0.0166341571033351,0.00837395698360871,1.98641539906343,0.000754942250306152,0.0323718748778738
6,adaptive_cap8_tau0.8,fixed_f8,all_origins,4000,144000,1032,-0.00245269002221585,0,-2.44690212980639,0.0144517480556949,0.507751937984496,0.640571376905989,0.726461352552886,-0.00245269002221585,0.00100236539595882,-2.44690212980639,-0.00440699148081289,-0.000504093968772683
6,adaptive_cap8_tau0.8,fixed_f8,divergent_origins,1032,13264,1032,-0.0209125756767727,0.00299208410778298,-1.71463840035477,0.0867120613586756,0.507751937984496,0.640571376905989,0.67891343435454,-0.0266275153180056,0.010828848542291,-2.45894244563626,-0.0477152980461631,-0.00577612142900227
9,adaptive_cap8_tau0.8,fixed_f8,all_origins,4000,144000,992,-0.00018193833135064,0,-0.193617484604999,0.846485239885396,0.530241935483871,0.0609790880877179,0.115942613486468,-0.00018193833135064,0.000939679242924853,-0.193617484605,-0.00212855758817127,0.00151050866876123
9,adaptive_cap8_tau0.8,fixed_f8,divergent_origins,992,12212,992,0.00892147874125211,0.0139011421113463,0.775170852674172,0.438423633175882,0.530241935483871,0.0609790880877179,0.0983041136131297,-0.00214535863844732,0.0110818732548593,-0.193591696016429,-0.0245115422345229,0.0190171828968754
12,adaptive_cap8_tau0.8,fixed_f8,all_origins,4000,144000,1006,-0.00300545223692435,0,-2.80163632749442,0.00510886754608241,0.479125248508946,0.196103276254751,0.100561276717734,-0.00300545223692435,0.00107274888158386,-2.80163632749442,-0.00528452795362179,-0.000915144044470956
12,adaptive_cap8_tau0.8,fixed_f8,divergent_origins,1006,12737,1006,-0.0247572587413696,-0.0114675381657061,-1.84125290671095,0.0658790865939556,0.479125248508946,0.196103276254751,0.131430438477937,-0.0339785759657675,0.0120419940323614,-2.82167354297422,-0.0575340519269668,-0.0098897825810496
18,adaptive_cap8_tau0.8,fixed_f8,all_origins,4000,144000,1031,-0.00401319728777505,0,-3.04916629589431,0.00230979525129575,0.444228903976722,0.000379808012362465,3.07541868635768e-05,-0.00401319728777505,0.00131616215657992,-3.04916629589431,-0.00664964086227217,-0.00143889523965202
18,adaptive_cap8_tau0.8,fixed_f8,divergent_origins,1031,13174,1031,-0.0312327217613446,-0.0446933980532598,-1.93098650650338,0.0537588918327931,0.444228903976722,0.000379808012362465,5.1569987069647e-05,-0.043866738229424,0.0142829846990064,-3.07125850470705,-0.0721953137345004,-0.0172151603876029
3,brown_cap8_tau0.5,adaptive_cap8_tau0.8,all_origins,4000,144000,3774,-0.00311091982803509,0,-3.59455248852548,0.000328869038357587,0.477477477477478,0.00593468206084402,0.000264909785607766,-0.00311091982803509,0.000865453999619077,-3.59455248852548,-0.00479003755811232,-0.00140198151030298
3,brown_cap8_tau0.5,adaptive_cap8_tau0.8,divergent_origins,3772,43662,3772,-0.0084944516204432,-0.000319371321259234,-2.77895246160791,0.00548046027442819,0.477730646871686,0.006537704443245,0.000907832407076927,-0.0102600076812616,0.00285193099392412,-3.5975651946418,-0.0160445040249777,-0.00450362718156248
6,brown_cap8_tau0.5,adaptive_cap8_tau0.8,all_origins,4000,144000,3791,0.00136310894720437,0,1.21773145295535,0.223397886648823,0.493801107887101,0.455005296198576,0.480466685366476,0.00136310894720437,0.001119383870636,1.21773145295535,-0.000829924308553302,0.00347034425680122
6,brown_cap8_tau0.5,adaptive_cap8_tau0.8,divergent_origins,3781,43410,3781,0.00575967532615602,-1.44338000274136e-07,1.38143987393362,0.167225400592285,0.493255752446443,0.416139841243788,0.860523070424665,0.00452171592655453,0.0037130833797481,1.21777925893528,-0.00309181231565775,0.0116219710422718
9,brown_cap8_tau0.5,adaptive_cap8_tau0.8,all_origins,4000,144000,3794,-0.00140696177812937,0,-1.11050343861691,0.266848914057651,0.487612018977333,0.131070445336931,0.016861719791624,-0.00140696177812936,0.0012669585065686,-1.1105034386169,-0.00376849527870333,0.00112299302056655
9,brown_cap8_tau0.5,adaptive_cap8_tau0.8,divergent_origins,3789,43759,3789,-0.00381583487905578,-3.1974655737111e-05,-0.820328150728609,0.412080678799135,0.487991554499868,0.143700898428397,0.0288670696700767,-0.00462996174525898,0.00416980670359844,-1.11035404621117,-0.012441564887499,0.00351902501104957
12,brown_cap8_tau0.5,adaptive_cap8_tau0.8,all_origins,4000,144000,3800,-0.00154081085625118,0,-1.1605280146775,0.245903169574335,0.488684210526316,0.167922711286288,0.0730149479873509,-0.00154081085625118,0.00132768088039594,-1.1605280146775,-0.00402529170098425,0.0010888543483037
12,brown_cap8_tau0.5,adaptive_cap8_tau0.8,divergent_origins,3790,43710,3790,-0.00369136109282223,-4.80871222976465e-05,-0.695033579741701,0.487076876811714,0.488654353562005,0.167362763370482,0.087723602114399,-0.00507610988985085,0.00437515866350622,-1.16021161293906,-0.013798427737812,0.00340268143886452
18,brown_cap8_tau0.5,adaptive_cap8_tau0.8,all_origins,4000,144000,3800,0.00252748761251252,0,1.31412483689407,0.188879569765617,0.516842105263158,0.0393642637878678,0.0566780424668681,0.00252748761251252,0.00192332382856885,1.31412483689407,-0.00129641242189424,0.00651866487211377
18,brown_cap8_tau0.5,adaptive_cap8_tau0.8,divergent_origins,3796,44071,3796,0.00693844258547958,0.000155188107280715,0.511637780827348,0.608934306813484,0.517386722866175,0.0334712677606416,0.0853270240898183,0.00825845150074417,0.00628156716510811,1.31471196338025,-0.0045632563225632,0.0205874446308891
3,brown_cap8_tau0.5,fixed_f8,all_origins,4000,144000,3726,-0.00170175258798624,0,-2.57995183530739,0.00991676890876658,0.498389694041868,0.856993254948285,0.550501813669839,-0.00170175258798624,0.000659606340202656,-2.57995183530739,-0.00297887623348316,-0.00037911014796045
3,brown_cap8_tau0.5,fixed_f8,divergent_origins,3722,37970,3722,-0.00363650752629186,-1.36934831500838e-08,-1.24831819455235,0.211993092738036,0.498387963460505,0.856917263366566,0.666033945630649,-0.00645384179224079,0.00249893798065473,-2.58263383973613,-0.0112651036728778,-0.00150766415727499
6,brown_cap8_tau0.5,fixed_f8,all_origins,4000,144000,3728,-0.00108958107501149,0,-1.31379070479244,0.188992008728679,0.500804721030043,0.934735455884607,0.478356382873305,-0.00108958107501149,0.000829341440030683,-1.31379070479244,-0.00269088759193161,0.000549675908102526
6,brown_cap8_tau0.5,fixed_f8,divergent_origins,3716,37344,3716,-0.00066848754249496,1.76738308479048e-09,-0.148629457857953,0.881854094017317,0.5005382131324,0.960750107383604,0.930327953022767,-0.00420146944056761,0.00319645374528593,-1.3144158418572,-0.010264513332334,0.00207412960313342
9,brown_cap8_tau0.5,fixed_f8,all_origins,4000,144000,3744,-0.00158890010948001,0,-1.50067353254106,0.133518967365259,0.491452991452991,0.303192612406353,0.0837199041627252,-0.00158890010948,0.00105879131938147,-1.50067353254106,-0.00366040740305357,0.000437349412325022
9,brown_cap8_tau0.5,fixed_f8,divergent_origins,3734,38214,3734,-0.00226568819136028,-1.08144236080077e-07,-0.443322428093732,0.657558226069607,0.491697911087306,0.318154444447099,0.165402434355295,-0.0059873767649002,0.00398830308847698,-1.5012341419585,-0.0140835224633765,0.00190250115568375
12,brown_cap8_tau0.5,fixed_f8,all_origins,4000,144000,3748,-0.00454626309317553,0,-4.08324581662038,4.52795733377862e-05,0.485325506937033,0.0749903581544629,0.00334972120636649,-0.00454626309317553,0.00111339441643961,-4.08324581662038,-0.00675281279442684,-0.00249645846764891
12,brown_cap8_tau0.5,fixed_f8,divergent_origins,3735,37943,3735,-0.0131576659215117,-3.37136415445781e-05,-2.34929174475772,0.0188609896428041,0.485676037483266,0.0828253556651053,0.00489805214711149,-0.0172538250886653,0.00422188454190152,-4.08675910423979,-0.0252041822264847,-0.00888995781295044
18,brown_cap8_tau0.5,fixed_f8,all_origins,4000,144000,3757,-0.00148570967526253,0,-0.871913803147244,0.383307746770062,0.498003726377429,0.819334388290559,0.233776816700362,-0.00148570967526253,0.00170396393531074,-0.871913803147243,-0.0049148813117854,0.00164041697800113
18,brown_cap8_tau0.5,fixed_f8,divergent_origins,3750,38140,3750,-0.00416583010816522,-9.50485312678495e-09,-0.294350848664121,0.768506117292766,0.498666666666667,0.883158708638044,0.349770618143937,-0.00560939153938382,0.00643308233810107,-0.871960165372236,-0.0184916181703909,0.00679987316603338
3,trigg_cap8_tau0.5,adaptive_cap8_tau0.8,all_origins,4000,144000,3722,-0.00308117603870544,0,-3.54499857864425,0.000397110207543483,0.480118216012896,0.0159625052594792,0.000281953072010446,-0.00308117603870544,0.00086916143133795,-3.54499857864425,-0.00474819168309585,-0.00135405704480465
3,trigg_cap8_tau0.5,adaptive_cap8_tau0.8,divergent_origins,3718,42109,3718,-0.0115590286456351,-0.000153280299325747,-3.50313886677238,0.000465228135954131,0.480096826250672,0.0159058716482069,0.000817050709213035,-0.0105366869227878,0.00297209658903553,-3.54520339670623,-0.0161045473311572,-0.0046530941850251
6,trigg_cap8_tau0.5,adaptive_cap8_tau0.8,all_origins,4000,144000,3752,0.00196260275830752,0,1.69074277062335,0.0909638695080998,0.494402985074627,0.503278287460561,0.591939318825531,0.00196260275830752,0.00116079322792783,1.69074277062335,-0.000229861395655894,0.00423200597973791
6,trigg_cap8_tau0.5,adaptive_cap8_tau0.8,divergent_origins,3745,42018,3745,0.00999920282642912,-1.01646391151289e-07,2.48129690207413,0.0131341073562551,0.493991989319092,0.472147852793592,0.781358175363106,0.00672604115018664,0.00397786990371361,1.69086503907718,-0.00110507072177947,0.0144201806456222
9,trigg_cap8_tau0.5,adaptive_cap8_tau0.8,all_origins,4000,144000,3746,-0.000701392564391308,0,-0.534334900637819,0.593139553089619,0.481580352375868,0.0251823094880374,0.0168022427655118,-0.000701392564391309,0.00131264598953592,-0.53433490063782,-0.003276242709007,0.00187345476369691
9,trigg_cap8_tau0.5,adaptive_cap8_tau0.8,divergent_origins,3738,42789,3738,-0.00257132401907694,-0.000125550328560871,-0.512443917044024,0.608370646512935,0.482075976457999,0.0295892737275089,0.0263275030125404,-0.00236043210369744,0.00441839971976365,-0.534227832112869,-0.0106431796669306,0.00673067927002932
12,trigg_cap8_tau0.5,adaptive_cap8_tau0.8,all_origins,4000,144000,3753,-0.000869448321772423,0,-0.64512818039379,0.518881131773848,0.496136424193978,0.647637071697442,0.229239095908171,-0.000869448321772422,0.00134771406395812,-0.645128180393789,-0.00339935051732182,0.00184724393366266
12,trigg_cap8_tau0.5,adaptive_cap8_tau0.8,divergent_origins,3744,42564,3744,-0.00343954465522417,-1.12843680469266e-07,-0.667386600324339,0.504566364958962,0.496260683760684,0.659029564569125,0.203333058359624,-0.00294146598825694,0.00456053341329104,-0.64498288285411,-0.011574318235967,0.00577533495720349
18,trigg_cap8_tau0.5,adaptive_cap8_tau0.8,all_origins,4000,144000,3759,0.00391977972829565,0,1.93430048116366,0.053146654559206,0.520085129023677,0.0144120321004961,0.0121463988932257,0.00391977972829565,0.0020264585396461,1.93430048116366,-2.23376009016836e-05,0.00796952728554637
18,trigg_cap8_tau0.5,adaptive_cap8_tau0.8,divergent_origins,3755,42748,3755,0.00487643031930579,0.000154009567929492,0.362211985420268,0.717214012079627,0.519573901464714,0.0171801463001394,0.0204001467295284,0.0132040862945306,0.00681960711106467,1.9361945753601,0.000789527381899478,0.0261292730946648
3,trigg_cap8_tau0.5,fixed_f8,all_origins,4000,144000,3671,-0.00167200879865659,0,-2.47595943330889,0.0133289674192952,0.499591391991283,0.973667678256972,0.341132956139469,-0.00167200879865659,0.00067529733167805,-2.47595943330889,-0.00302020582668413,-0.000318032384058215
3,trigg_cap8_tau0.5,fixed_f8,divergent_origins,3664,36337,3664,-0.00463519911918785,-1.09943360457332e-08,-1.44569085727963,0.148349478083128,0.499454148471616,0.960472807529909,0.487968484026763,-0.00662600839697606,0.00267506525166973,-2.47695206419366,-0.0120191995011257,-0.00156762721353639
6,trigg_cap8_tau0.5,fixed_f8,all_origins,4000,144000,3678,-0.000490087263908333,0,-0.557339125071318,0.577326941873779,0.497553017944535,0.779241958534518,0.416750380048633,-0.000490087263908333,0.000879334038940152,-0.557339125071318,-0.00217223291229031,0.00117137078270157
6,trigg_cap8_tau0.5,fixed_f8,divergent_origins,3669,35730,3669,0.00253466578734433,-2.16112270023938e-08,0.554921771383975,0.57898200590352,0.497410738620878,0.766344722896296,0.549066254039512,-0.00197516278044978,0.00354315584985068,-0.557458622807411,-0.00921303432735919,0.00530434873838786
9,trigg_cap8_tau0.5,fixed_f8,all_origins,4000,144000,3691,-0.000883330895741948,0,-0.838468734063012,0.401817613754253,0.489840151720401,0.223205697131429,0.179409674527506,-0.000883330895741947,0.00105350487126878,-0.838468734063011,-0.00289064062435646,0.00117106115901725
9,trigg_cap8_tau0.5,fixed_f8,divergent_origins,3676,37350,3676,0.000382528638626381,-1.68672567545103e-07,0.0763244116122315,0.939165159427009,0.48993471164309,0.228575599241841,0.305613839034409,-0.00340561309121888,0.00406149595784256,-0.838511998182049,-0.0112091091661788,0.00454883709641304
12,trigg_cap8_tau0.5,fixed_f8,all_origins,4000,144000,3687,-0.00387490055869678,0,-3.40895287678633,0.000658576675112021,0.488744236506645,0.176864845578086,0.013895571430104,-0.00387490055869678,0.00113668352093787,-3.40895287678633,-0.00604448746499565,-0.001604075464517
12,trigg_cap8_tau0.5,fixed_f8,divergent_origins,3674,36802,3674,-0.00938497717268248,-2.97977706675834e-07,-1.63908681710884,0.101280822203212,0.489112683723462,0.192451878343279,0.0146774480610153,-0.0151618303467527,0.00444401570544857,-3.41174094595651,-0.0236262967081915,-0.00661483727160086
18,trigg_cap8_tau0.5,fixed_f8,all_origins,4000,144000,3703,-9.34175594794024e-05,0,-0.0511540827217272,0.959205295418264,0.499864974345126,1,0.524645981335357,-9.34175594794023e-05,0.00182619948416599,-0.0511540827217272,-0.00363894831069215,0.00343839738002852
18,trigg_cap8_tau0.5,fixed_f8,divergent_origins,3693,36930,3693,-0.00457322122793511,-3.53992018105783e-09,-0.32303813102447,0.746684658277736,0.499864608719198,1,0.755066388352849,-0.000364260181163594,0.00712093102273265,-0.0511534488960419,-0.0139546690952848,0.0131016838662788
