bin,n,mean_signal,mean_loss_diff,median_loss_diff,share_worse,ci_lo,ci_hi,signal
1,3180,0.843712422825216,0.0568994831478633,0.0383873929802935,0.561635220125786,0.0373179833959951,0.0755425116681752,score_gap
2,3180,0.951037620956698,0.0386528059591549,0.015332059493402,0.527987421383648,0.0183667722555911,0.0604716003404315,score_gap
3,3180,1.10785844145566,0.0258385442535092,0.0208650568238876,0.540880503144654,0.00483270498487692,0.0467205729146424,score_gap
4,3180,1.38459718582418,0.0224048210771879,6.9393488556474e-05,0.504716981132076,-0.00692775769544883,0.0575575814361949,score_gap
5,3180,3.03510127631379,-0.0127972225302299,0,0.490251572327044,-0.0379282858189888,0.0111057721963483,score_gap
1,3180,0.344693671285219,0.00318012959046353,0.0302380061507525,0.541194968553459,-0.0291203086208314,0.0397153755601503,ic
2,3180,0.70699516146376,-0.00659794633479875,0.0171116260467725,0.525157232704403,-0.0299555666668724,0.0154718670709654,ic
3,3180,1.01228598164274,0.0485438331611341,0.031992970621742,0.55125786163522,0.0259563718855593,0.0693089397687999,ic
4,3180,3.46244031213934,0.0161335799949864,0.000195593857411969,0.506603773584906,-0.00538974139297529,0.038931890834744,ic
5,3180,38.2759875787635,0.0697388354957001,1.51675450671407e-09,0.50125786163522,0.0526391764625009,0.0871492253076253,ic
